value_name,inserted_ts,values,name,id,value_type,item_id,value_id
1,2025-02-17 04:39:36,"[{'id': None, 'name': '1', 'struct': None}]",Cantidad de packs,PACKS_NUMBER,integer,MLA1361114181,
13 %,2025-02-17 04:39:36,"[{'id': '8897086', 'name': '13 %', 'struct': {'number': 13, 'unit': '%'}}]",Graduación alcohólica,ALCOHOL_BY_VOLUME,number_unit,MLA1361114181,8897086
"Frutos rojos,Especias",2025-02-17 04:39:36,"[{'id': '8869920', 'name': 'Frutos rojos', 'struct': None}, {'id': '8869919', 'name': 'Especias', 'struct': None}]",Aromas,AROMAS,string,MLA1361114181,
7 meses,2025-02-17 04:39:36,"[{'id': '9163257', 'name': '7 meses', 'struct': {'number': 7, 'unit': 'meses'}}]",Tiempo en barrica,BARREL_TIME,number_unit,MLA1361114181,9163257
Trumpeter,2025-02-17 04:39:36,"[{'id': '2305922', 'name': 'Trumpeter', 'struct': None}]",Marca,BRAND,string,MLA1361114181,2305922
La Rural,2025-02-17 04:39:36,"[{'id': '3635851', 'name': 'La Rural', 'struct': None}]",Bodega,CELLAR,string,MLA1361114181,3635851
16 °C,2025-02-17 04:39:36,"[{'id': '12240407', 'name': '16 °C', 'struct': {'number': 16, 'unit': '°C'}}]",Temperatura ideal de consumo,IDEAL_CONSUMING_TEMPERATURE,number_unit,MLA1361114181,12240407
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Incluye estuche,INCLUDES_CASE,boolean,MLA1361114181,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es bebida sin alcohol,IS_NON_ALCOHOLIC_DRINK,boolean,MLA1361114181,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es orgánico,IS_ORGANIC,boolean,MLA1361114181,242084
Nuevo,2025-02-17 04:39:36,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None}]",Condición del ítem,ITEM_CONDITION,list,MLA1361114181,2230284
Malbec,2025-02-17 04:39:36,"[{'id': '9692652', 'name': 'Malbec', 'struct': None}]",Línea,LINE,string,MLA1361114181,9692652
Vino Trumpeter Malbec 750 Ml X6 Unidades,2025-02-17 04:39:36,"[{'id': '45885673', 'name': 'Vino Trumpeter Malbec 750 Ml X6 Unidades', 'struct': None}]",Título manual,MANUAL_TITLE,string,MLA1361114181,45885673
Argentina,2025-02-17 04:39:36,"[{'id': '96380', 'name': 'Argentina', 'struct': None}]",Origen,ORIGIN,string,MLA1361114181,96380
Botella,2025-02-17 04:39:36,"[{'id': '2290293', 'name': 'Botella', 'struct': None}]",Tipo de envase,PACKAGING_TYPE,string,MLA1361114181,2290293
Carnes rojas,2025-02-17 04:39:36,"[{'id': '9799230', 'name': 'Carnes rojas', 'struct': None}]",Maridajes,PAIRINGS,string,MLA1361114181,9799230
Temperatura ambiente,2025-02-17 04:39:36,"[{'id': '10792872', 'name': 'Temperatura ambiente', 'struct': None}]",Conservación del producto,PRODUCT_CONSERVATION,list,MLA1361114181,10792872
Contiene líquido,2025-02-17 04:39:36,"[{'id': '7435885', 'name': 'Contiene líquido', 'struct': None}]",Características del producto,PRODUCT_FEATURES,list,MLA1361114181,7435885
Mendoza,2025-02-17 04:39:36,"[{'id': '13244147', 'name': 'Mendoza', 'struct': None}]",Regiones,REGIONS,string,MLA1361114181,13244147
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Número de Registro Nacional de Establecimiento (RNE),RNE_ESTABLISHMENT_NATIONAL_REGISTRATION_NUMBER,string,MLA1361114181,-1
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Número de inscripción de producto (RNPA),RNPA_PRODUCT_INSCRIPTION_NUMBER,string,MLA1361114181,-1
Pack,2025-02-17 04:39:36,"[{'id': '1359392', 'name': 'Pack', 'struct': None}]",Formato de venta,SALE_FORMAT,list,MLA1361114181,1359392
1101,2025-02-17 04:39:36,"[{'id': None, 'name': '1101', 'struct': None}]",SKU,SELLER_SKU,string,MLA1361114181,
6,2025-02-17 04:39:36,"[{'id': '140750', 'name': '6', 'struct': None}]",Unidades por pack,UNITS_PER_PACK,number,MLA1361114181,140750
750 mL,2025-02-17 04:39:36,"[{'id': '2292305', 'name': '750 mL', 'struct': {'number': 750, 'unit': 'mL'}}]",Volumen de la unidad,UNIT_VOLUME,number_unit,MLA1361114181,2292305
Malbec,2025-02-17 04:39:36,"[{'id': '2107336', 'name': 'Malbec', 'struct': None}]",Varietal,VARIETAL,string,MLA1361114181,2107336
Sin estuche,2025-02-17 04:39:36,"[{'id': '20133771', 'name': 'Sin estuche', 'struct': None}]",Material del estuche,WINE_CASE_MATERIAL,string,MLA1361114181,20133771
Tinto,2025-02-17 04:39:36,"[{'id': '2107333', 'name': 'Tinto', 'struct': None}]",Tipo de vino,WINE_TYPE,string,MLA1361114181,2107333
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Año,YEAR,number,MLA1361114181,-1
13.9 %,2025-02-17 04:39:36,"[{'id': '9163240', 'name': '13.9 %', 'struct': {'number': 13.9, 'unit': '%'}}]",Graduación alcohólica,ALCOHOL_BY_VOLUME,number_unit,MLA1387607165,9163240
